it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
      30  1.92729854E-01  7.23914995E-03   9.00000000E+05  4.31986803E-20 -7.10556288E-15 -4.32410320E-19  6.03450000E+05  2.71050543E-19 -1.35525272E-20  2.16339323E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.67E+05  2.00E+00  1.27E+00  6.75E-03
      32  2.05578511E-01  7.23914994E-03   9.00000000E+05  2.03287907E-20 -2.13163905E-14 -5.49300866E-19  6.03450000E+05 -2.71050543E-20  5.42101086E-20  2.35210003E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.88E+05  2.00E+00  1.13E+00  5.97E-03
      34  2.18427168E-01  7.23914993E-03   9.00000000E+05  1.69406589E-21  4.26327268E-14 -3.55753838E-19  6.03450000E+05  1.08420217E-19  5.42101086E-20  2.50100540E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.87E+05  2.00E+00  1.13E+00  5.99E-03
      36  2.31275825E-01  7.23914992E-03   9.00000000E+05  1.01643954E-20  9.23706099E-14 -5.21348779E-19  6.03450000E+05 -5.42101086E-20  1.35525272E-20  2.60031735E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.74E+05  2.00E+00  1.22E+00  6.44E-03
      38  2.44124482E-01  7.23914990E-03   9.00000000E+05 -4.57397792E-20  4.26326455E-14 -5.84452734E-19  6.03450000E+05  1.08420217E-19  2.71050543E-20  2.63964148E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.87E+05  2.00E+00  1.14E+00  6.00E-03
      40  2.56973139E-01  7.23914989E-03   9.00000000E+05  1.35525272E-20 -7.10561709E-15 -3.51942190E-19  6.03450000E+05  2.16840434E-19  4.06575815E-20  2.62214470E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.91E+05  2.00E+00  1.11E+00  5.86E-03
      42  2.69821796E-01  7.23914988E-03   9.00000000E+05  4.57397792E-20  2.84216552E-14 -4.75185483E-19  6.03450000E+05  5.42101086E-20  1.35525272E-20  2.55581985E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.87E+05  2.00E+00  1.14E+00  6.01E-03
      44  2.82670453E-01  7.23914987E-03   9.00000000E+05 -8.63973606E-20  2.13162279E-14 -6.31886579E-19  6.03450000E+05  8.13151629E-20 -4.06575815E-20  2.43718464E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.86E+05  2.00E+00  1.14E+00  6.01E-03
      46  2.95519110E-01  7.23914985E-03   9.00000000E+05  1.35525272E-20  2.84217094E-14 -6.21298667E-19  6.03450000E+05  1.89735380E-19 -1.35525272E-20  2.26726017E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.89E+05  2.00E+00  1.12E+00  5.90E-03
      48  3.08367767E-01  7.23914984E-03   9.00000000E+05 -3.04931861E-20  3.55273536E-14 -4.01070101E-19  6.03450000E+05  8.13151629E-20  8.13151629E-20  2.05235612E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.84E+05  2.00E+00  1.15E+00  6.08E-03
      50  3.21216424E-01  7.23914983E-03   9.00000000E+05  1.35525272E-20  2.84218721E-14 -4.88314494E-19  6.03450000E+05  4.06575815E-19  4.06575815E-20  1.80195670E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.57E+05  2.00E+00  1.35E+00  7.13E-03
      52  3.34065081E-01  7.23914982E-03   9.00000000E+05  5.42101086E-20  2.13162008E-14 -7.83928993E-19  6.03450000E+05  5.14996032E-19  2.71050543E-20  1.51555470E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.89E+05  2.00E+00  1.13E+00  5.92E-03
      54  3.46913738E-01  7.23914981E-03   9.00000000E+05 -4.40457133E-20  7.10531894E-15 -4.18010759E-19  6.03450000E+05  7.31836466E-19 -1.35525272E-20  1.17915306E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.84E+05  2.00E+00  1.15E+00  6.06E-03
      56  3.59762395E-01  7.23914980E-03   9.00000000E+05  5.08219768E-20  1.42108710E-13 -5.89958448E-19  6.03450000E+05  9.21571847E-19  0.00000000E+00  7.80992422E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.90E+05  2.00E+00  1.12E+00  5.87E-03
